MMSI,IMO,STATUS,SPEED,LON,LAT,COURSE,HEADING,TIMESTAMP,SHIP_ID
316035891,9780768,1,0,-54.172810,47.724410,153,274,2020-12-15T21:16:00,5149482
316035891,9780768,1,0,-54.172710,47.724400,2,267,2020-12-15T22:19:00,5149482
316035891,9780768,1,0,-54.172780,47.724230,165,265,2020-12-15T23:25:00,5149482
316035891,9780768,1,0,-54.172840,47.724290,166,260,2020-12-16T00:31:00,5149482
316035891,9780768,1,0,-54.172840,47.724310,102,260,2020-12-16T01:31:00,5149482
316035891,9780768,1,0,-54.172850,47.724300,195,260,2020-12-16T02:31:00,5149482
316035891,9780768,1,0,-54.172840,47.724310,234,260,2020-12-16T03:36:00,5149482
316035891,9780768,1,0,-54.172840,47.724320,253,260,2020-12-16T04:42:00,5149482
316035891,9780768,1,0,-54.172850,47.724300,164,260,2020-12-16T05:42:00,5149482
316035891,9780768,1,0,-54.172850,47.724300,165,260,2020-12-16T06:42:00,5149482
316035891,9780768,1,0,-54.172840,47.724310,173,260,2020-12-16T07:45:00,5149482
316035891,9780768,1,0,-54.172850,47.724300,352,260,2020-12-16T09:03:00,5149482
316035891,9780768,1,0,-54.172850,47.724310,177,262,2020-12-16T10:03:00,5149482
316035891,9780768,1,0,-54.172850,47.724310,173,260,2020-12-16T11:33:00,5149482
316035891,9780768,1,0,-54.173010,47.724660,12,252,2020-12-16T12:45:00,5149482
316035891,9780768,1,0,-54.172990,47.724580,151,260,2020-12-16T13:45:00,5149482
316035891,9780768,1,0,-54.172970,47.724550,208,261,2020-12-16T14:45:00,5149482
316035891,9780768,1,0,-54.172970,47.724520,59,263,2020-12-16T15:47:00,5149482
316035891,9780768,1,0,-54.172990,47.724520,209,263,2020-12-16T16:47:00,5149482
316035891,9780768,1,0,-54.172970,47.724530,334,263,2020-12-16T17:47:00,5149482
316035891,9780768,1,0,-54.172970,47.724530,268,263,2020-12-16T18:53:00,5149482
316035891,9780768,1,0,-54.172970,47.724520,153,263,2020-12-16T19:53:00,5149482
316035891,9780768,1,0,-54.172970,47.724520,164,263,2020-12-16T20:53:00,5149482
316035891,9780768,1,0,-54.172960,47.724520,182,263,2020-12-16T21:53:00,5149482
316035891,9780768,1,1,-54.172930,47.724260,178,270,2020-12-16T22:56:00,5149482
316035891,9780768,1,0,-54.172910,47.723850,151,275,2020-12-17T00:02:00,5149482
316035891,9780768,1,0,-54.172910,47.723830,173,275,2020-12-17T01:02:00,5149482
316035891,9780768,1,0,-54.172910,47.723790,180,275,2020-12-17T02:02:00,5149482
316035891,9780768,1,0,-54.173010,47.723400,253,280,2020-12-17T03:02:00,5149482
316035891,9780768,1,0,-54.173010,47.723370,179,280,2020-12-17T04:02:00,5149482
316035891,9780768,1,0,-54.173010,47.723370,276,280,2020-12-17T05:02:00,5149482
316035891,9780768,1,0,-54.173010,47.723360,201,280,2020-12-17T06:02:00,5149482
316035891,9780768,1,0,-54.173010,47.723370,266,280,2020-12-17T07:08:00,5149482
316035891,9780768,1,1,-54.172920,47.724690,11,250,2020-12-17T08:08:00,5149482
316035891,9780768,1,0,-54.172700,47.723810,209,277,2020-12-17T09:08:00,5149482
316035891,9780768,1,0,-54.172790,47.724010,323,270,2020-12-17T10:14:00,5149482
316035891,9780768,1,7,-54.175400,47.723000,196,292,2020-12-17T11:14:00,5149482
316035891,9780768,0,63,-54.115550,47.738570,72,70,2020-12-17T12:14:00,5149482
316035891,9780768,0,12,-54.018030,47.775980,114,209,2020-12-17T13:14:00,5149482
316035891,9780768,0,0,-54.015690,47.774640,182,225,2020-12-17T14:13:00,5149482
316035891,9780768,5,33,-54.021280,47.774590,262,255,2020-12-18T15:23:00,5149482
316035891,9780768,0,142,-54.027740,47.605260,169,168,2020-12-18T16:22:00,5149482
316035891,9780768,0,130,-54.539480,46.711300,140,138,2020-12-18T21:16:00,5149482
316035891,9780768,0,131,-54.331810,46.545480,138,135,2020-12-18T22:15:00,5149482
316035891,9780768,0,131,-54.120300,46.381940,139,135,2020-12-18T23:15:00,5149482
316035891,9780768,0,116,-53.854510,46.339690,91,90,2020-12-19T00:15:00,5149482
316035891,9780768,0,113,-53.579390,46.338670,90,88,2020-12-19T01:14:00,5149482
316035891,9780768,0,109,-53.312420,46.335040,93,88,2020-12-19T02:13:00,5149482
316035891,9780768,0,94,-53.054930,46.325760,91,88,2020-12-19T03:13:00,5149482
316035891,9780768,0,85,-52.849670,46.317010,91,85,2020-12-19T04:14:00,5149482
316035891,9780768,0,83,-52.643880,46.313960,88,80,2020-12-19T05:14:00,5149482
316035891,9780768,0,95,-52.579220,46.289100,265,271,2020-12-23T18:43:00,5149482
316035891,9780768,0,80,-52.809200,46.275260,269,267,2020-12-23T19:42:00,5149482
316035891,9780768,0,68,-52.975870,46.271170,273,271,2020-12-23T20:42:00,5149482
316035891,9780768,0,69,-53.139960,46.278950,270,273,2020-12-23T21:42:00,5149482
316035891,9780768,0,67,-53.301050,46.282960,266,271,2020-12-23T22:41:00,5149482
316035891,9780768,0,67,-53.464880,46.283810,267,269,2020-12-23T23:42:00,5149482
316035891,9780768,0,68,-53.625420,46.281800,274,269,2020-12-24T00:41:00,5149482
316035891,9780768,0,69,-53.788560,46.278670,268,269,2020-12-24T01:41:00,5149482
316035891,9780768,0,69,-53.934820,46.314100,308,301,2020-12-24T02:40:00,5149482
316035891,9780768,0,72,-54.068600,46.373060,304,299,2020-12-24T03:39:00,5149482
316035891,9780768,0,75,-54.218690,46.437060,302,300,2020-12-24T04:39:00,5149482
316035891,9780768,0,78,-54.368900,46.507350,304,301,2020-12-24T05:39:00,5149482
316035891,9780768,0,107,-54.009610,47.534630,350,351,2020-12-24T17:41:00,5149482
316035891,9780768,0,86,-54.055530,47.714720,347,351,2020-12-24T18:40:00,5149482
316035891,9780768,0,5,-54.016380,47.774970,140,221,2020-12-24T19:41:00,5149482
316035891,9780768,0,30,-54.022030,47.774740,257,255,2020-12-26T15:53:00,5149482
316035891,9780768,0,145,-54.030240,47.605570,170,169,2020-12-26T16:52:00,5149482
316035891,9780768,0,125,-54.454980,46.652030,140,140,2020-12-26T22:15:00,5149482
316035891,9780768,0,119,-54.267360,46.498250,137,137,2020-12-26T23:16:00,5149482
316035891,9780768,0,128,-54.059610,46.351450,119,121,2020-12-27T00:15:00,5149482
316035891,9780768,0,134,-53.739210,46.346390,92,96,2020-12-27T01:14:00,5149482
316035891,9780768,0,120,-53.423270,46.336960,92,95,2020-12-27T02:14:00,5149482
316035891,9780768,0,118,-53.139250,46.339440,92,96,2020-12-27T03:14:00,5149482
316035891,9780768,0,120,-52.856630,46.328990,92,96,2020-12-27T04:13:00,5149482
316035891,9780768,0,148,-52.928360,46.284240,269,269,2020-12-29T09:57:00,5149482
316035891,9780768,0,150,-53.289700,46.279450,268,269,2020-12-29T10:57:00,5149482
316035891,9780768,0,146,-53.644570,46.279770,269,269,2020-12-29T11:57:00,5149482
316035891,9780768,0,143,-53.966010,46.325520,304,303,2020-12-29T12:57:00,5149482
316035891,9780768,0,143,-54.255630,46.452730,301,301,2020-12-29T13:56:00,5149482
316035891,9780768,0,70,-54.041700,47.662100,350,350,2020-12-29T21:02:00,5149482
316035891,9780768,0,46,-54.043770,47.768860,47,54,2020-12-29T22:02:00,5149482
316035891,9780768,0,0,-54.015700,47.774650,222,225,2020-12-31T16:47:00,5149482
316035891,9780768,0,74,-54.456380,46.667730,133,143,2021-01-01T04:16:00,5149482
316035891,9780768,0,71,-54.335660,46.582150,139,147,2021-01-01T05:16:00,5149482
